,HPO_term_ID,HPO_term_name,gene_num,study_count,n_study,population_count,n_population,gene_ratio,background_ratio,odd_ratio,pvalue,padj,related_genes
2,HP:0001300,Parkinsonism,155,74,10814,155,234119,0.006842981,0.000662056,10.33594802,6.93E-56,1.65E-52,A2M MYORG ADH1C PCDH19 PLA2G6 ALS2 APOE APP APP PRKRA PRKRA ATP1A3 ATP1A3 SYNJ1 SQSTM1 CAT XPR1 LYST JAM2 CLN3 FBXO7 CP CHMP2B SNCAIP DNAJC6 DCTN1 DCTN1 AP5Z1 AP5Z1 C19ORF12 C19ORF12 RAB39B ATP6AP2 ATP6AP2 EIF4G1 SIGMAR1 ABCA7 TOMM40 FMR1 FMR1 FTL FTL FUS FUS GABRA1 GABRG2 GBA GBA GCH1 PDE10A COQ2 COQ2 COQ2 AFG3L2 AFG3L2 GLUD2 GRN GRN WDR45 WDR45 HFE TMEM240 KIF5A KIF5A MAPT MAPT MAPT MAPT MAPT MAPT MECP2 MECP2 ATXN3 MPO TBK1 NOS3 NOTCH3 NR4A2 TREM2 TREM2 PRKN PCBD1 PDGFB PDGFB PDGFRB PDGFRB PLAU POLG TMEM106B PPP2R2B PPP2R2B PRKAR1B EIF2AK2 PRNP PSEN1 PSEN1 PSEN1 PSEN2 TRPM7 VPS13C PTS PANK2 PANK2 ATXN2 ATXN2 ATXN2 ATXN8OS SCN1A SCN1B SCN2A SCN9A SLC30A10 SPG11 SLC6A3 SLC6A3 SLC18A2 SLC18A2 SLC20A2 VPS35 DNAJC5 COASY SNCB SNCA SNCA SNCA SNCA C9ORF72 C9ORF72 C9ORF72 C9ORF72 SORL1 STXBP1 VPS13A VPS13A TBP TBP TBP ATP13A2 ATP13A2 ATP13A2 TARDBP TH TH SLC39A14 SLC39A14 UBTF DNAJC12 VCP VCP VCP TWNK PINK1 CHCHD10 CHCHD10 JPH3
105,HP:0002067,Bradykinesia,162,75,10814,162,234119,0.006935454,0.000691956,10.02297262,2.27E-55,2.70E-52,ACTA1 MYORG ADH1C PCDH19 PLA2G6 PLA2G6 PLA2G6 SLC25A4 PRKRA PRKRA PDE8B PDE8B ATP1A3 ATP1A3 SYNJ1 SYNJ1 SYNJ1 JAM2 FBXO7 FBXO7 RRM2B SNCAIP CSF1R GIGYF2 GIGYF2 EARS2 DNAJC6 DNAJC6 DNAJC6 DCTN1 PET117 C19ORF12 RAB39B ATL1 ATP6AP2 ATP6AP2 ATP6AP2 EIF4G1 EIF4G1 CHCHD2 TACO1 KLHL41 ADGRV1 FMR1 FMR1 FARS2 FTL FTL GABRA1 GABRD GABRG2 GABRG2 GBA GBA GCH1 GCH1 COQ2 COQ2 COQ2 MYPN GLUD2 HTRA2 HTRA2 ATP5MK WDR45 WDR45 POLG2 HTT HTT HTT HTT PARK7 PARK7 ATXN8 KCNC3 MAPT MAPT MAPT MAPT MAPT MECP2 ATXN3 NEB HCN1 NR4A2 PRKN PRKN PDGFB PDGFRB PODXL PODXL POLG POLG POLG POLG PPP2R2B KBTBD13 PRKAR1B EIF2AK2 PRNP PRNP PRNP VPS13C TTC19 PTS PTS LRRK2 LRRK2 LRRK2 DHDDS STX1B PANK2 ATXN1 ATXN2 ATXN2 ATXN8OS ATXN8OS SCN1A SCN1A SCN1B SCN1B SCN2A SCN2A SCN9A SCN9A SLC30A10 SLC30A10 SLC2A3 SLC6A3 SLC6A3 SLC20A2 VPS35 VPS35 COASY SNCA SNCA SNCA SNCA SPR STXBP1 VPS13A TAF1 TBP TBP DNAJC13 ATP13A2 ATP13A2 ATP13A2 ATP13A2 TH TK2 SLC39A14 SLC39A14 TPM2 TPM3 UCHL1 UCHL1 DNAJC12 TWNK PINK1 PINK1 JPH3
118,HP:0002063,Rigidity,203,74,10814,203,234119,0.006842981,0.00086708,7.891980019,1.19E-45,9.43E-43,AARS1 ACTA1 ADAR ADH1C PLA2G6 PLA2G6 CASK PDE8B PDE8B ATP6V1A SYNGAP1 SYNJ1 SYNJ1 SYNJ1 SYNJ1 BRAT1 CACNA1A CACNA1B SLC6A5 JAM2 PLAA PLAA CLTC FBXO7 FBXO7 ITM2B CP PNKD PARS2 NECAP1 CHMP2B CRYAB SNCAIP CSF1R CSF1R NUS1 GIGYF2 GIGYF2 CTSD ABCA12 DNAJC6 DNAJC6 DNAJC6 DCTN1 C19ORF12 DHCR24 DNM1 ATL1 EEF1A2 EIF4G1 EIF4G1 GPHN STUB1 REEP2 TUBB4A FGF12 FGFR1 ACTL6B SEMA6B FMR1 CYFIP2 FTL GABRA2 GABRA5 GABRB2 GABRG2 WWOX WWOX INPP5K GBA GBA GBA GCDH GCDH GCH1 GCH1 COQ2 COQ2 COQ2 GLRA1 GLRB AFG3L2 GLUD2 HTRA2 HTRA2 GRIN2D WDR45 WDR45 ATAD1 HTT HTT HTT PARK7 PARK7 ATXN8 TMEM240 KCNA2 KCNA2 KCNB1 KIF11 KRAS LDHA LOXL1 MAPT MAPT MAPT MAPT NOTCH2NLC MECP2 MECP2 ATXN3 MME MYO5A HCN1 NTRK2 NR4A2 PRKN PRKN PDGFB PDGFRB RNU4ATAC PODXL PODXL POLG POLG PPP3CA SLC13A5 PRKCG EIF2AK2 PRNP PRNP HTRA1 VPS13C VPS13C PTS PTS PTCD3 RANBP2 PRRT2 DALRD3 UBA5 LRRK2 LRRK2 LRRK2 DHDDS DHDDS RYR1 PANK2 PANK2 ATXN2 ATXN2 ATXN8OS ATXN8OS SCN3A SCN8A SLC30A10 SLC30A10 FOXRED1 ARX CNKSR2 SLC1A2 SLC2A3 TRAK1 SLC6A3 SLC20A2 VPS35 VPS35 NDUFAF6 SMPD1 COASY SNCA SNCA SNCA SNCA C9ORF72 SPR CDK19 STXBP1 TBP TBP TBP DNAJC13 SZT2 SLC19A3 ATP13A2 ATP13A2 ATP13A2 SIL1 TH TH DDHD1 LNPK UBTF UCHL1 UCHL1 FRRS1L ARV1 YWHAG PINK1 PINK1 GJC2 AP3B2 JPH3
113,HP:0002172,Postural instability,106,50,10814,106,234119,0.004623636,0.000452761,10.21208531,6.07E-38,3.62E-35,ADH1C PLA2G6 PLA2G6 ABCC6 ATP1A2 ATP1A3 ATP1A3 RNASEH1 SYNJ1 SYNJ1 SYNJ1 CACNA1A CACNA1A CACNB4 ERCC8 ERCC8 CLN5 FBXO7 FBXO7 COL4A1 SNCAIP CSF1R GIGYF2 GIGYF2 RUBCN DNAJC6 DNAJC6 DNAJC6 TIMM8A C19ORF12 EIF4G1 ERCC1 ERCC4 ERCC6 ERCC6 STUB1 GARS1 GBA GBA COQ2 COQ2 COQ2 COQ2 GLUD2 HTRA2 PNKP PARK7 ATXN8 KCNA1 KCNC3 KCND3 MAPT MAPT MAPT MAPT MAPT ATXN3 NF2 NR4A2 OPHN1 PRKN PRKN PDGFB PDGFRB ENPP1 PMP22 PODXL PODXL POU3F3 PRKAR1B VPS13C ALDH18A1 RFC1 PRRT2 LRRK2 LRRK2 LRRK2 ATXN2 ATXN2 ATXN8OS ATXN8OS SCN1A SLC30A10 SLC30A10 SLC20A2 VPS35 VPS35 SNCA SNCA SNCA SNCA ADAT3 SPG7 TAF1 TBP DNAJC13 ATP13A2 ATP13A2 DDHD1 TRPC3 TRPC3 UCHL1 UCHL1 PINK1 PINK1 CXCR4
0,HP:0000726,Dementia,222,68,10814,222,234119,0.006288145,0.000948236,6.631415399,1.48E-36,7.08E-34,A2M ADH1C AARS2 ABCD1 APOE APOE APOE APP APP APP APP APP APP GBA2 GBA2 ARSA ASAH1 ATP6V1A ATP6V1E1 CTSF ATP7B AUH SCARB2 XPR1 LYST ERCC8 CLN3 FBXO7 ATXN10 ITM2B ITM2B COL4A1 RRM2B CP MMACHC MMACHC CHMP2B SNCAIP CST3 CSTB GIGYF2 CYLD MATR3 MATR3 CYP27A1 DCTN1 TIMM8A DGUOK C19ORF12 DLAT RAB39B DNMT1 DNMT1 ATN1 ATN1 DNM1L TYMP EIF4G1 NHLRC1 NHLRC1 ERCC4 SPG21 SPG21 TUBB4A MBTPS2 FMR1 FMR1 CISD2 NPC2 CERS1 GBA GBA GBA GBA GBA GBE1 GCDH ADA2 PNPLA6 GLUD2 GM2A GRN WDR45 WDR45 HTT HTT HEXA HFE TREX1 HLA-DQB1 IRF6 MAPT MAPT MAPT MAPT NOTCH2NLC NOTCH2NLC MECP2 ATXN3 MPO ATP6 ATP6 TRNC COX1 COX1 COX2 COX2 COX3 COX3 CYTB ND1 ND1 ND4 ND5 ND5 ND6 ND6 TRNE TRNF TRNF TRNH TRNK TRNL1 TRNL1 TRNQ TRNQ TRNS1 TRNS1 TRNS2 TRNS2 TRNV TRNW TRNW NDP NOS3 NOTCH3 NPC1 PRICKLE1 NR4A2 OPA1 PRDX1 TREM2 TREM2 SDHAF1 PDGFB PDGFRB SERPINI1 RNF216 RNF216 PLAU POLG POLG TMEM106B PPP2R2B PPP2R2B SLC13A5 PRNP PRNP PRNP PRNP PRNP PRNP PRNP HTRA1 HTRA1 PSAP PSEN1 PSEN1 PSEN2 TRPM7 VPS13C APTX CLN6 ALDH18A1 ALDH18A1 ROGDI ROGDI LRRK2 LRRK2 PANK2 PANK2 ATXN2 ATXN2 ATXN2 ATXN8OS SDHA SDHB SDHD CFAP43 VPS35 DNAJC5 SNCB SNCA SNCA SNCA SNCA SNCA C9ORF72 SPAST VPS13A TBP DNAJC13 ATP13A2 ATP13A2 ATP13A2 ATP13A2 ATP6V0A2 TTR VCP VCP KCTD7 WFS1 WFS1 TWNK PINK1 STARD7 PRDM8 EPM2A EPM2A CUBN JPH3 JPH3
111,HP:0100315,Lewy bodies,31,28,10814,31,234119,0.002589236,0.000132411,19.55449626,1.54E-34,6.10E-32,ADH1C PLA2G6 FBXO7 SNCAIP GIGYF2 C19ORF12 RAB39B EIF4G1 EIF4G1 GBA GBA GBA GLUD2 GRN MAPT NR4A2 VPS13C LRRK2 LRRK2 ATXN2 ATXN8OS VPS35 SNCB SNCA SNCA SNCA SNCA SNCA TBP DNAJC13 TIA1
102,HP:0002322,Resting tremor,54,33,10814,54,234119,0.0030516,0.000230652,13.23032386,1.62E-30,5.51E-28,ADCY5 ADCY5 ADH1C SLC25A4 ATP1A3 SYNJ1 CACNA1G RRM2B SNCAIP GIGYF2 GIGYF2 DNAJC6 RAB39B DNMT1 ATP6AP2 ATP6AP2 EIF4G1 EIF4G1 CHCHD2 MICU1 FMR1 FTL GBA GBA GCH1 COQ2 COQ2 GLUD2 POLG2 MAN1B1 PARK7 MAPT MECP2 NR4A2 PODXL POLG POLG VPS13C LRRK2 LRRK2 ATXN2 ATXN8OS OPA3 VPS35 VPS35 SNCA SNCA VPS13A TAF1 TBP DNAJC13 ATP13A2 TWNK PINK1
107,HP:0000716,Depressivity,483,88,10814,483,234119,0.008137599,0.002063053,3.944444381,4.27E-28,1.27E-25,SMC1A ADH1C AARS2 PLA2G6 PLA2G6 KCNT1 KCNT1 ANG SLC25A4 PRSS12 ANXA11 AR ARSA ARVCF JRK ABCB11 ATP1A3 ATP1A3 STX16 CTSF ATP7B ATRX CRADD BCR BCS1L FGF17 BMPR1A PER3 PER2 SYNJ1 SQSTM1 SQSTM1 SGCE SGCE CACNA1H CACNA1G CACNA1G CACNA1G FOXH1 FOXH1 FOXH1 FOXH1 CFAP410 CARS1 BAZ1B CASR AIP RUNX1 CBL CBS CCNF USP8 LGI1 XPR1 VAPB CDKN1A CDKN1B CDKN2B CDKN2C AIMP1 CHRNA2 CHRNA4 CHRNB2 AP2S1 CLCN4 CLCN4 HS6ST1 ATXN10 ATXN10 MED23 WHRN COL7A1 COL7A1 COMT RRM2B RRM2B TECR B3GALNT2 CPOX GTF2IRD1 CRH CRKL CHMP2B CHMP2B SNCAIP CSF1R NSMF SEC24C GIGYF2 DEPDC5 DEPDC5 SLC45A1 MATR3 CYP27A1 DAO PTPN22 GPR101 METTL23 DNAJC6 DCTN1 DCTN1 DCTN1 DCTN1 FIG4 USH1G DGUOK C19ORF12 IQSEC1 DMPK DNA2 TRAPPC9 NR1H4 CDON CDON CDON CDON DNMT1 DNMT1 PDE11A ESPN DRD2 DUSP6 MAMLD1 TOR1A TOR1A USH1C OPTN EIF4G1 ELN TBL2 CRBN EPHA4 NHLRC1 ERBB4 CEP85L TBC1D7 ADGRV1 ABCA7 RSRC1 CEP78 SLC7A6OS FGF8 FGF8 FGF8 FGF8 FGF8 FGF14 FGF14 FGFR1 FGFR1 FGFR1 FLT4 CIB2 FMO3 FMR1 FMR1 CISD2 MLH3 FUS FUS STAG2 STAG2 GABRA1 GABRB3 GABRG2 GABRG2 KDM5B GALT GAS1 GAS1 GAS1 GAS1 GBA GBA GBA GCH1 COQ2 COQ2 PPARGC1A SRPX2 KISS1R GLA GLE1 GLI2 GLI2 GLI2 GLI2 AFG3L2 GLUD2 GNA11 GNAS GNAS GNAS GNAS GNRH1 GNRHR GP1BB HTRA2 GPR35 GRN GRIK2 GRIN2A GRIN2A GSN MSH6 GTF2I HARS1 POLG2 DISP1 DISP1 DISP1 DISP1 MAN1B1 HTT HTT HTT TREX1 HLA-DQA1 HLA-DQB1 HLA-DQB1 HLA-DQB1 HLA-DRB1 PARK7 HMBS HMBS HNMT ATXN8 HNRNPA1 PROK2 NDST1 HTR2A IDUA ANOS1 KCNJ2 KISS1 TET3 KRAS DLL1 DLL1 DLL1 DLL1 LIMK1 LMNB1 EPCAM MAN2B1 MAN2B1 MAPT MAPT MAPT MECP2 MEN1 MLH1 MMP1 DCPS MSH2 MST1 COX1 COX2 COX3 TBK1 TBK1 ND1 ND4 ND5 ND6 TRNF TRNH TRNL1 TRNL1 TRNL2 TRNN TRNQ TRNS1 TRNS1 TRNS2 TRNS2 TRNW MYO7A MYO7A NEFH NEK1 NODAL NODAL NODAL NODAL NOTCH3 NR4A2 OCRL PAH PAH TREM2 TREM2 PRKN PDCD1 PDGFB PDGFB PDGFRB PDGFRB PDGFRB ATP8B1 PFN1 ABCB4 PIGC PIK3CA PMS1 PMS2 UBQLN2 MBOAT7 PODXL FA2H POLG POLG POLG POLG POLG POLG PON1 PON2 PON3 TMEM106B PPP2R2B PPT1 PRKACA PRKAR1A PRKCG MAPK1 PRNP PRNP PRNP PRNP PRNP PRNP PRPH TET2 RELN PSAP PSEN1 VPS13C GDAP2 CC2D1A PTCH1 PTCH1 PTCH1 PTCH1 NSUN2 TTC19 PROKR2 PTS CLN6 RFC2 MSTO1 MSTO1 KCTD17 KCTD17 LINS1 FBXO31 ARMC5 ARMC5 EHMT1 ZC3H14 RPS6KA3 LRRK2 LRRK2 RPS20 PDZD7 RREB1 CLIP1 PANK2 PANK2 SARS1 ATXN2 ATXN2 ATXN8OS ATXN8OS PGAP1 EDC3 SRSF2 SHH SHH SHH SHH CHD7 ST3GAL3 SIX3 SIX3 SIX3 SIX3 SLC2A1 SLC2A3 ARSG FAN1 SLC6A4 WDR11 SLC18A2 SLC20A2 VPS35 DNAJC5 SMPD1 COASY SNCA SNCA SNCA C9ORF72 C9ORF72 C9ORF72 C9ORF72 C9ORF72 UNC13A SOD1 TNIK GLT8D1 SPAST CDH23 CDH23 VPS13A TAC3 TACR3 SEMA4A TBX1 TBX1 TBP TBP TCF4 DNAJC13 WASHC4 TDGF1 TDGF1 TDGF1 TDGF1 ATP13A2 TGFBR2 TGIF1 TGIF1 TGIF1 TGIF1 TARDBP TARDBP TK2 ASXL1 AMACR TSC1 TSC2 HIRA UCHL1 FRRS1L UFD1 USH2A CLRN1 VCP VCP VCP VCP EZR CLIP2 WFS1 WFS1 TWNK TWNK TWNK TWNK XK ZIC2 ZIC2 ZIC2 ZIC2 FMN2 PINK1 PINK1 CHCHD10 CHCHD10 LMAN2L CABP4 PCDH15 C12ORF4 EPM2A TUSC3 THOC2 THOC2 JMJD1C SPRY4 MED25 TAF15 JPH3
172,HP:0002548,Parkinsonism with favorable response to dopaminergic medication,27,23,10814,27,234119,0.002126873,0.000115326,18.44226962,2.76E-27,7.31E-25,PLA2G6 FBXO7 GIGYF2 GIGYF2 EIF4G1 GBA GCH1 PDE10A HTRA2 PARK7 MAPT MAPT MAPT POLG POLG LRRK2 LRRK2 VPS35 SNCA TAF1 TAF1 DNAJC13 ATP13A2 ATP13A2 TH TK2 UCHL1
564,HP:0000741,Apathy,140,45,10814,140,234119,0.004161272,0.000597986,6.958806706,1.01E-25,2.41E-23,ACAT1 SMC1A SYNJ1 SQSTM1 SQSTM1 SQSTM1 FOXH1 FOXH1 FOXH1 FOXH1 CACNA1A ATXN10 CP CHMP2B CHMP2B GIGYF2 DNAJC6 DCTN1 DCTN1 CDON CDON CDON CDON DNMT1 EIF4G1 FGF8 FGF8 FGF8 FGF8 FGFR1 FGFR1 FUS STAG2 STAG2 GAS1 GAS1 GAS1 GAS1 GBA GBA COQ2 COQ2 GLI2 GLI2 GLI2 GLI2 GM2A HTRA2 GRN GRN DISP1 DISP1 DISP1 DISP1 HTT HEXA HFE TREX1 HLA-DQB1 PARK7 HMGCL HMGCL TMEM240 DLL1 DLL1 DLL1 DLL1 MAPT MAPT MAPT MAPT MAPT MAPT TBK1 TBK1 NODAL NODAL NODAL NODAL NOTCH3 TREM2 PRKN PDGFB PODXL TMEM106B PRKAR1B PRNP PRNP PSEN1 PSEN1 PSEN1 VPS13C PTCH1 PTCH1 PTCH1 PTCH1 EHMT1 EHMT1 LRRK2 LRRK2 SHH SHH SHH SHH SIX3 SIX3 SIX3 SIX3 SLC2A3 VPS35 SMARCB1 SNCA SNCA C9ORF72 C9ORF72 C9ORF72 SPAST VPS13A DNAJC13 TDGF1 TDGF1 TDGF1 TDGF1 ATP13A2 TGIF1 TGIF1 TGIF1 TGIF1 TARDBP TARDBP UCHL1 VCP VCP ZIC2 ZIC2 ZIC2 ZIC2 PINK1 CHCHD10 JPH3
